order_id,item_id,customer_name,customer_city,customer_state,customer_zipcode,product_name,brand_name,category_name,model_year,total_units,list_price,discount,item_sale_price,revenue,order_date,required_date,shipped_date,order_status,store_name,store_city,store_state,store_zipcode,sales_rep
1,1,Johnathan Velazquez,Pleasanton,CA,94566,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,1,599.99,0.20,479.9920,479.9920,2016-01-01,2016-01-03,2016-01-03,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
1,2,Johnathan Velazquez,Pleasanton,CA,94566,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,2,1799.99,0.07,1673.9907,3347.9814,2016-01-01,2016-01-03,2016-01-03,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
1,3,Johnathan Velazquez,Pleasanton,CA,94566,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,2,1549.00,0.05,1471.5500,2943.1000,2016-01-01,2016-01-03,2016-01-03,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
1,4,Johnathan Velazquez,Pleasanton,CA,94566,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.05,569.9905,1139.9810,2016-01-01,2016-01-03,2016-01-03,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
1,5,Johnathan Velazquez,Pleasanton,CA,94566,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2016,1,2899.99,0.20,2319.9920,2319.9920,2016-01-01,2016-01-03,2016-01-03,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
2,1,Jaqueline Cummings,Huntington Station,NY,11746,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,1,599.99,0.07,557.9907,557.9907,2016-01-01,2016-01-04,2016-01-03,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
2,2,Jaqueline Cummings,Huntington Station,NY,11746,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.05,569.9905,1139.9810,2016-01-01,2016-01-04,2016-01-03,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
3,1,Joshua Robertson,Patchogue,NY,11772,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,2016,1,999.99,0.05,949.9905,949.9905,2016-01-02,2016-01-05,2016-01-03,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
3,2,Joshua Robertson,Patchogue,NY,11772,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,1,599.99,0.05,569.9905,569.9905,2016-01-02,2016-01-05,2016-01-03,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
4,1,Nova Hess,Duarte,CA,91010,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,2016,2,749.99,0.10,674.9910,1349.9820,2016-01-03,2016-01-04,2016-01-05,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
5,1,Arla Ellis,Utica,NY,13501,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,2,1549.00,0.05,1471.5500,2943.1000,2016-01-03,2016-01-06,2016-01-06,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
5,2,Arla Ellis,Utica,NY,13501,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,1,429.00,0.07,398.9700,398.9700,2016-01-03,2016-01-06,2016-01-06,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
5,3,Arla Ellis,Utica,NY,13501,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,2016,1,599.99,0.07,557.9907,557.9907,2016-01-03,2016-01-06,2016-01-06,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
6,1,Sharyn Hopkins,Baldwinsville,NY,13027,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,2016,1,449.00,0.07,417.5700,417.5700,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
6,2,Sharyn Hopkins,Baldwinsville,NY,13027,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,2,549.99,0.05,522.4905,1044.9810,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
6,3,Sharyn Hopkins,Baldwinsville,NY,13027,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,1,599.99,0.10,539.9910,539.9910,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
